,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.s32c,1,32.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s33a,1,33.1,2.4,40,0.894427190999916,5,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s34c,1,34.3,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s35a,1,35.1.2,4.16,40,0.894427190999916,1,,,,,delta,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s37a,1,37.1,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s38b,1,38.2,2.4,20,0.894427190999916,5,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s39b,1,39.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s41c,1,41.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s42a,1,42.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s43b,1,43.2,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s45a,1,45.1,2.4,20,0.894427190999916,5,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s46a,1,46.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s47,3,47,4.16,105,0.813733471206735,5,,,,,wye,75,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,129.034879005639,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s48,3,48,4.16,210,0.813733471206735,2,,,,,wye,150,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,258.069758011279,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s49a,1,49.1,2.4,35,0.813733471206735,1,,,,,wye,25,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,43.0116263352131,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s49b,1,49.2,2.4,70,0.813733471206735,1,,,,,wye,50,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,86.0232526704263,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s49c,1,49.3,2.4,35,0.868243142124459,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,40.3112887414927,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s50c,1,50.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s51a,1,51.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s52a,1,52.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s53a,1,53.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s55a,1,55.1,2.4,20,0.894427190999916,2,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s56b,1,56.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s58b,1,58.2,2.4,20,0.894427190999916,5,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s59b,1,59.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s60a,1,60.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s62c,1,62.3,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s63a,1,63.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s64b,1,64.2,2.4,75,0.906183139995265,5,,,,,wye,35,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,82.7647267862342,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s65a,1,65.1.2,4.16,35,0.813733471206735,2,,,,,delta,25,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,43.0116263352131,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s65b,1,65.2.3,4.16,35,0.813733471206735,2,,,,,delta,25,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,43.0116263352131,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s65c,1,65.3.1,4.16,70,0.813733471206735,2,,,,,delta,50,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,86.0232526704263,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s66c,1,66.3,2.4,75,0.906183139995265,1,,,,,wye,35,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,82.7647267862342,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s68a,1,68.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s69a,1,69.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s70a,1,70.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s71a,1,71.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s73c,1,73.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s74c,1,74.3,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s75c,1,75.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s76a,1,76.1.2,4.16,105,0.795431720032499,5,,,,,delta,80,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,132.003787824441,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s76b,1,76.2.3,4.16,70,0.813733471206735,5,,,,,delta,50,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,86.0232526704263,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s76c,1,76.3.1,4.16,70,0.813733471206735,5,,,,,delta,50,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,86.0232526704263,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s77b,1,77.2,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s79a,1,79.1,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s80b,1,80.2,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s82a,1,82.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s83c,1,83.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s84c,1,84.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s85c,1,85.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s86b,1,86.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s87b,1,87.2,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s88a,1,88.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s90b,1,90.2,2.4,40,0.894427190999916,5,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s92c,1,92.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s94a,1,94.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s95b,1,95.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s96b,1,96.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s98a,1,98.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s99b,1,99.2,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s100c,1,100.3,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s102c,1,102.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s103c,1,103.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s104c,1,104.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s106b,1,106.2,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s107b,1,107.2,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s109a,1,109.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s111a,1,111.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s112a,1,112.1,2.4,20,0.894427190999916,5,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s113a,1,113.1,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s114a,1,114.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
